domain,checked_url,final_url,http_status,fetch_error,shopify_detected,shopify_confidence,shopify_signals,checked_at
456skin.com,https://www.456skin.com/,https://456skin.com/,200,,0,none,,2026-03-16T14:32:20.897941+00:00
47brand.com,https://47brand.com,https://47brand.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:20.956706+00:00
4amskin.com,https://4amskin.com/,https://4amskin.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:20.957180+00:00
4moms.com,https://www.4moms.com/,https://www.4moms.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:20.962742+00:00
4ocean.com,https://4ocean.com,https://4ocean.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:20.998173+00:00
4patriots.com,https://4patriots.com,https://4patriots.com,200,,0,none,,2026-03-16T14:32:20.992539+00:00
696nyc.com,https://696nyc.com/,https://696nyc.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:21.026152+00:00
8facesbeauty.com,https://8facesbeauty.com,https://8facesbeauty.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:21.154117+00:00
8greens.com,https://8greens.com,https://www.grove.co/collections/8greens,429,HTTPError: 429,0,none,,2026-03-16T14:32:21.165371+00:00
aardaleppo.com,https://www.aardaleppo.com,https://www.aardaleppo.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:21.166796+00:00
aarke.com,https://aarke.com,https://aarke.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:21.182653+00:00
aavrani.com,https://aavrani.com/,https://aavrani.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:21.202602+00:00
abbiokitchen.com,https://www.abbiokitchen.com/,https://www.abbiokitchen.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:21.271923+00:00
aboutface.com,https://aboutface.com/,https://aboutface.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:21.291441+00:00
aceandtate.com,https://aceandtate.com,https://www.aceandtate.com/nl-en,200,,0,none,,2026-03-16T14:32:21.333512+00:00
acidleague.com,https://www.acidleague.com/,https://www.acidleague.com/,200,,0,none,,2026-03-16T14:32:21.386896+00:00
actandacre.com,https://actandacre.com/,https://actandacre.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:21.388796+00:00
adoredvintage.com,https://www.adoredvintage.com/,https://www.adoredvintage.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:21.407238+00:00
adoreme.com,https://www.adoreme.com/,https://www.adoreme.com/,200,,0,none,,2026-03-16T14:32:21.418981+00:00
aerie.com,https://www.aerie.com,https://www.ae.com/us/en/c/aerie/cat4840006?pagetype=plp,200,,0,none,,2026-03-16T14:32:21.474868+00:00
aerin.com,https://aerin.com,https://aerin.com,403,HTTPError: 403,0,none,,2026-03-16T14:32:21.507046+00:00
aesop.com,https://aesop.com,https://www.aesop.com/,403,HTTPError: 403,0,none,,2026-03-16T14:32:21.525221+00:00
aeyla.co.uk,https://www.aeyla.co.uk/,https://www.aeyla.co.uk/,429,HTTPError: 429,0,none,,2026-03-16T14:32:21.525870+00:00
afends.com,https://afends.com/,https://afends.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:21.557032+00:00
agentprovocateur.com,https://www.agentprovocateur.com/int_en/,https://www.agentprovocateur.com/eu_en/,404,HTTPError: 404,0,none,,2026-03-16T14:32:21.695180+00:00
aglassof.com,https://aglassof.com/,https://aglassof.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:21.698561+00:00
agood.com,https://agood.com,https://agood.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:21.747755+00:00
ahlvar.com,https://ahlvar.com/,https://ahlvar.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:21.749791+00:00
aimeleondore.com,https://aimeleondore.com,https://aimeleondore.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:21.779778+00:00
airinum.com,https://airinum.com,https://airinum.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:21.783307+00:00
airsign.co,https://airsign.co/,https://www.airsign.co/,200,,1,high,cdn.shopify.com|myshopify.com,2026-03-16T14:32:21.802046+00:00
aislingorganics.com,https://aislingorganics.com/,https://aislingorganics.com/,,URLError: [Errno 11001] getaddrinfo failed,0,none,,2026-03-16T14:32:21.814633+00:00
ajeworld.com,https://ajeworld.com/,https://ajeworld.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:21.838971+00:00
alaninu.com,https://alaninu.com,https://alaninu.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:21.867783+00:00
alcltd.com,https://alcltd.com/,https://alcltd.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:21.885123+00:00
alday.co,https://alday.co/,https://alday.co/,200,,0,none,,2026-03-16T14:32:21.885539+00:00
alderapparel.com,https://www.alderapparel.com/,https://www.alderapparel.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:21.907768+00:00
alecsicecream.com,https://www.alecsicecream.com/,https://www.alecsicecream.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:21.917145+00:00
alexandani.com,https://alexandani.com,https://alexandani.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:22.015675+00:00
alexcrane.co,https://alexcrane.co/,https://alexcrane.co/,429,HTTPError: 429,0,none,,2026-03-16T14:32:22.030912+00:00
alippa.com,https://alippa.com/,https://alippa.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:22.039896+00:00
allbirds.com,https://www.allbirds.com/,https://www.allbirds.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:22.048588+00:00
allform.com,https://allform.com,https://allform.com,200,,1,medium,myshopify.com,2026-03-16T14:32:22.049749+00:00
allkinds.com,https://www.allkinds.com/,https://allkinds.com/au/,200,,0,none,,2026-03-16T14:32:22.050033+00:00
